flt602 HAW LAX 04:15 15:15 602 A 1000
flt1201 NYC DFW 09:00 11:30 1201 B 500
flt1202 NYC DFW 12:00 14:30 1202 B 500
flt1203 NYC DFW 16:00 18:30 1203 B 500
flt902 NYC CHI 10:12 12:12 902 A 500
flt903 NYC CHI 18:24 20:24 903 A 500
flt202 NYC ORL 11:30 13:00 202 B 700
flt204 NYC ORL 17:30 19:00 204 A 700
flt1204 DFW NYC 09:00 11:30 1204 B 500
flt1205 DFW NYC 12:00 14:30 1205 B 500
flt1206 DFW NYC 16:00 18:30 1206 B 500
flt302 DFW ORL 12:30 15:30 302 B 700
flt304 DFW ORL 14:30 17:30 304 A 700
flt306 DFW ORL 19:30 22:30 306 B 700
flt904 CHI NYC 09:00 11:00 904 B 500
flt905 CHI NYC 19:00 21:00 905 A 500
flt601 ORL HAW 14:30 01:30 601 B 2000
flt201 ORL NYC 08:30 10:30 201 B 700
flt203 ORL NYC 14:30 16:00 203 A 700
flt205 ORL NYC 19:30 21:20 205 A 700
flt301 ORL DFW 09:30 12:00 301 B 700
flt303 ORL DFW 13:30 16:00 303 B 700
flt305 ORL DFW 17:30 20:00 305 B 700
flt101 ORL ATL 09:00 09:31 101 A 500
flt103 ORL ATL 11:00 11:31 103 A 500
flt105 ORL ATL 13:00 13:31 105 A 500
flt107 ORL ATL 15:00 15:31 107 A 500
flt109 ORL ATL 17:00 17:31 109 A 500
flt100 ATL ORL 08:00 08:31 100 A 500
flt102 ATL ORL 10:00 10:31 102 A 500
flt104 ATL ORL 12:00 12:31 104 A 500
flt106 ATL ORL 14:00 14:32 106 A 500
flt108 ATL ORL 16:00 16:30 108 A 500
